idx,date,time,merchant,amount,amountText,userCard,useType
"1","2026-06-12","10:04","지자체세입금(네이버페이)","253000","253,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"2","2026-06-11","23:34","쿠팡","205940","205,940원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"3","2026-06-11","01:37","Adobe","19000","19,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"4","2026-06-10","22:57","aliexpress Singapo","47746","47,746원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"5","2026-06-10","18:37","T 카페오더_트레이더스명지","36600","36,600원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"6","2026-06-09","22:16","오션타워관리사무소","1800","1,800원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"7","2026-06-09","22:03","프레시홈마트","5780","5,780원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"8","2026-06-09","20:43","삼환미포씨랜드관리단","5000","5,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"9","2026-06-09","20:36","극동돼지국밥","33000","33,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"10","2026-06-09","19:47","해운대구청","600","600원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"11","2026-06-09","19:06","오션타워관리사무소","9000","9,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"12","2026-06-09","16:09","(주)신세계백화점 센텀시티점_공차(센텀B1F)","17200","17,200원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"13","2026-06-09","16:06","(주)신세계백화점 센텀시티점_소맥베이커리기타 서양베이커","13000","13,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"14","2026-06-09","16:01","(주)신세계백화점 센텀시티점_청과신선(직,면)황도","50600","50,600원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"15","2026-06-09","14:55","(주)신세계백화점 센텀시티점_그린파이브샐러드","17000","17,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"16","2026-06-09","14:28","(주)에이스디엔씨","4400","4,400원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"17","2026-06-09","14:13","LG U+ 통신요금 자동이체","25300","25,300원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"18","2026-06-09","14:13","LG U+ 통신요금 자동이체","59000","59,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"19","2026-06-09","14:10","자동결제_주식회사 파스토","2509210","2,509,210원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"20","2026-06-09","13:13","ChatGPT_NICE(구)_나이스정보통신","144545","144,545원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"21","2026-06-09","01:11","Netflix.com_Netflix","27000","27,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"22","2026-06-08","22:17","명지에코e편한아이스","24800","24,800원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"23","2026-06-08","22:03","DREAMINA","24528","24,528원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"24","2026-06-08","18:00","쿠팡(쿠페이)","46000","46,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"25","2026-06-07","15:37","롯데쇼핑㈜ 부산점 주차장","500","500원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"26","2026-06-07","15:19","롯데백화점 부산점_파스퇴르밀크바_제과","11300","11,300원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"27","2026-06-07","12:36","육면정","209000","209,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"28","2026-06-07","10:10","네이버페이_주식회사 티빙","5000","5,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"29","2026-06-07","10:10","네이버페이_주식회사 티빙","5000","5,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"30","2026-06-07","10:10","네이버페이_주식회사 티빙","5000","5,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"31","2026-06-06","22:40","CLOUDFLARE SAN FRA","0","0원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"32","2026-06-06","21:37","한국맥도날드 부산명지DT","10800","10,800원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"33","2026-06-06","21:21","(주)다이소아성산업","8000","8,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"34","2026-06-04","23:53","쿠팡_쿠팡(주)","116330","116,330원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"35","2026-06-04","10:23","쿠팡(와우멤버십)_쿠팡(와우 멤버십)","7890","7,890원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"36","2026-06-03","22:20","쿠팡(쿠페이)","25330","25,330원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"37","2026-06-03","21:28","쿠팡(쿠페이)","66000","66,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"38","2026-06-03","18:11","쿠팡이츠","33000","33,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"39","2026-06-03","05:55","(주)이니시스_공공기관[일반]_지식재산처","5000","5,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"40","2026-06-02","16:30","헥토파이낸셜_일반","33000","33,000원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"41","2026-06-02","02:53","구글페이먼트_구글페이먼트코리아","3300","3,300원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"42","2026-06-01","22:10","쿠팡이츠_쿠팡(쿠팡이츠)","9800","9,800원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"43","2026-06-01","14:05","컴포즈커피(명지국제신도시점)","11800","11,800원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"44","2026-06-01","13:57","(주)다이소아성산업","9500","9,500원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
"45","2026-06-01","13:47","명랑시대쌀핫도그 명지국제신도시점","5600","5,600원","본인 LOCA LIKIT 1.2 (3*2*)","일시불"
